stroke_team_id,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt,proportion_of_all_with_mask6_and_ivt,proportion_of_all_with_mask6_and_mt
42,other,62.0,0.0,0.0,,0.604839,0.693333,0.961538,0.94,1.0,0.0,4.39958,0.857494,3.2626,0.690067,,,0.604839,0.746667,0.964286,0.981481,1.0,0.0,4.486955,0.884824,3.310686,0.732583,,,0.0,0.0
42,mixed,469.5,0.122471,0.011715,0.545455,0.647497,0.588816,0.944134,0.878698,1.0,0.373737,4.557805,0.613671,3.352649,0.775074,3.391879,0.67984,0.647497,0.662829,0.965261,0.940874,1.0,0.021858,4.681013,0.67579,3.436739,0.839249,,,0.118211,0.00852
43,lvo,57.0,0.263158,0.017544,1.0,0.824561,0.712766,0.955224,0.90625,1.0,0.5,4.506875,0.492926,3.008293,0.831138,3.775271,0.873961,0.824561,0.787234,0.959459,0.943662,1.0,0.029851,4.617076,0.581886,3.035553,0.93252,,,0.254386,0.017544
43,nlvo,290.0,0.117241,0.0,,0.753448,0.567506,0.943548,0.901709,1.0,0.317536,4.618912,0.536274,3.315241,0.923044,3.84812,0.557732,0.753448,0.659039,0.958333,0.916667,1.0,0.0,4.769088,0.623867,3.441176,1.002458,,,0.115517,0.0
43,other,42.0,0.0,0.0,,0.75,0.730159,1.0,0.913043,1.0,0.0,4.631776,0.485098,2.873529,0.989127,,,0.75,0.793651,1.0,1.0,1.0,0.0,4.713219,0.543069,2.899924,0.979101,,,0.0,0.0
43,mixed,389.0,0.125964,0.002571,1.0,0.763496,0.607744,0.952909,0.90407,1.0,0.308682,4.599758,0.522751,3.199069,0.929634,3.826113,0.665102,0.763496,0.693603,0.963592,0.93199,1.0,0.005405,4.735005,0.608655,3.300466,1.008383,,,0.123393,0.002571
44,lvo,78.0,0.423077,0.307692,0.6875,0.903846,0.829787,0.991453,0.948276,1.0,0.581818,4.522348,0.469254,3.027215,0.689149,3.127706,0.856422,0.903846,0.886525,1.0,0.992,1.0,0.354839,4.591704,0.526643,3.048626,0.736241,4.777977,0.588501,0.410256,0.282051
44,nlvo,317.5,0.092913,0.022047,0.5,0.785827,0.478958,0.953975,0.894737,1.0,0.27451,4.65277,0.481825,3.133824,0.737557,3.193422,0.644005,0.785827,0.561122,0.971429,0.922794,1.0,0.043825,4.800706,0.572567,3.297471,0.902759,4.988406,0.517244,0.088189,0.017323
44,other,44.5,0.0,0.0,,0.730337,0.569231,1.0,0.864865,1.0,0.0,4.491221,0.606801,3.119532,0.901029,,,0.730337,0.692308,1.0,0.888889,1.0,0.0,4.694134,0.705837,3.295502,1.020999,,,0.0,0.0
44,mixed,440.0,0.142045,0.070455,0.645161,0.801136,0.557447,0.969466,0.908136,1.0,0.346821,4.598733,0.49451,3.099978,0.740232,3.158373,0.762281,0.801136,0.638298,0.982222,0.938914,1.0,0.13253,4.731992,0.581115,3.226896,0.877378,4.820063,0.576667,0.136364,0.0625
45,lvo,44.0,0.318182,0.068182,1.0,0.818182,0.722222,0.980769,0.941176,1.0,0.583333,4.427301,0.99013,2.868734,0.918558,3.699127,0.72144,0.818182,0.819444,0.983051,0.948276,1.0,0.109091,4.578773,1.018673,2.914526,0.973047,,,0.318182,0.068182
45,nlvo,274.0,0.074818,0.001825,0.0,0.596715,0.474006,0.929032,0.854167,1.0,0.325203,4.700218,0.49354,3.349612,0.916326,3.936084,0.514896,0.596715,0.599388,0.964286,0.867725,1.0,0.006098,4.905246,0.595362,3.600448,1.041582,,,0.072993,0.001825
45,other,40.0,0.0,0.0,,0.5625,0.622222,0.892857,0.84,1.0,0.0,4.741044,0.49231,3.341951,0.75586,,,0.5625,0.711111,0.9375,0.866667,1.0,0.0,4.850713,0.548188,3.532359,0.875749,,,0.0,0.0
45,mixed,358.0,0.096369,0.009777,0.857143,0.620112,0.529279,0.93617,0.872727,1.0,0.354167,4.644692,0.644666,3.237265,0.919072,3.838513,0.61471,0.620112,0.646396,0.965157,0.884477,1.0,0.028571,4.832051,0.708261,3.449451,1.044797,,,0.094972,0.009777
46,lvo,94.5,0.169312,0.068783,0.230769,0.539683,0.754902,1.0,0.935065,1.0,0.402778,4.366296,0.582202,3.158588,0.781814,3.663349,0.810489,0.539683,0.823529,0.97619,0.97561,1.0,0.075,4.473376,0.662918,3.213482,0.811161,,,0.153439,0.031746
46,nlvo,301.0,0.089701,0.001661,0.0,0.44186,0.62782,0.934132,0.846154,1.0,0.371212,4.546005,0.646782,3.539151,0.753592,3.413446,0.901303,0.44186,0.714286,0.973684,0.864865,1.0,0.0,4.689267,0.720358,3.708931,0.883056,,,0.081395,0.0
46,other,56.5,0.0,0.0,,0.442478,0.7,1.0,0.971429,1.0,0.0,4.382229,0.598767,3.187473,0.595516,,,0.442478,0.8,0.975,0.948718,1.0,0.0,4.555336,0.727088,3.280337,0.659251,,,0.0,0.0
46,mixed,452.0,0.095133,0.015487,0.214286,0.462389,0.667464,0.960573,0.88806,1.0,0.327731,4.475862,0.627447,3.383882,0.763286,3.506359,0.871805,0.462389,0.751196,0.974522,0.905229,1.0,0.021661,4.614451,0.710584,3.521539,0.868086,,,0.086283,0.006637
47,lvo,144.5,0.311419,0.031142,0.666667,0.615917,0.825843,0.986395,1.0,1.0,0.613793,4.416676,0.580083,2.33673,0.885008,3.491066,0.50971,0.615917,0.88764,0.987342,0.967949,1.0,0.059603,4.50596,0.649121,2.401317,0.950974,,,0.307958,0.031142
47,nlvo,425.0,0.103529,0.002353,1.0,0.436471,0.609164,0.969027,0.922374,1.0,0.420792,4.489648,0.732784,2.625606,1.035502,3.437976,0.495254,0.436471,0.733154,0.977941,0.87218,1.0,0.008621,4.695432,0.810204,2.903095,1.201649,,,0.1,0.002353
47,other,68.0,0.0,0.0,,0.470588,0.796875,0.941176,0.895833,1.0,0.0,4.537238,0.481535,2.649365,1.129985,,,0.470588,0.84375,0.925926,0.98,1.0,0.0,4.593541,0.523228,2.686168,1.142771,,,0.0,0.0
47,mixed,637.5,0.139608,0.008627,0.727273,0.480784,0.69168,0.971698,0.946602,1.0,0.446154,4.470073,0.65644,2.526707,1.004431,3.465131,0.501953,0.480784,0.78956,0.975207,0.915254,1.0,0.025463,4.622211,0.736779,2.714273,1.139539,5.323709,0.86176,0.136471,0.008627
48,lvo,192.0,0.328125,0.023438,0.888889,0.789062,0.772277,0.92735,0.940092,1.0,0.607843,4.392916,0.531257,3.359784,0.798435,2.952563,0.713407,0.789062,0.831683,0.960317,0.96281,1.0,0.038627,4.478379,0.598328,3.478318,0.896499,,,0.322917,0.023438
48,nlvo,684.0,0.127924,0.001462,1.0,0.657895,0.583333,0.885714,0.787097,1.0,0.459016,4.566245,0.597768,3.599521,0.92426,2.889527,0.91857,0.657895,0.683333,0.930081,0.837413,1.0,0.004175,4.733071,0.685054,3.825925,1.039633,,,0.122807,0.001462
48,other,110.0,0.0,0.0,,0.7,0.772727,0.94958,0.884956,1.0,0.0,4.435997,0.587188,3.656802,0.858323,,,0.7,0.824675,0.96063,0.918033,1.0,0.0,4.517867,0.651209,3.763058,0.923924,,,0.0,0.0
48,mixed,986.0,0.152637,0.005578,0.909091,0.688134,0.647015,0.905467,0.842767,1.0,0.435821,4.502397,0.584047,3.542225,0.888507,2.916296,0.836853,0.688134,0.732498,0.94165,0.880342,1.0,0.01335,4.641005,0.669613,3.727858,0.999927,5.000094,0.286576,0.148073,0.005578
49,lvo,51.0,0.392157,0.088235,0.333333,0.911765,0.763441,0.957746,0.970588,1.0,0.606061,4.536556,0.407876,3.023171,0.701289,3.424973,0.550946,0.911765,0.849462,0.962025,0.986842,1.0,0.106667,4.649823,0.515101,2.979159,0.766513,,,0.392157,0.078431
49,nlvo,280.0,0.160714,0.005357,0.666667,0.855357,0.496868,0.941176,0.888393,1.0,0.437186,4.680038,0.43865,3.109561,0.92838,3.209981,0.79944,0.855357,0.588727,0.978723,0.905797,1.0,0.012,4.835857,0.544213,3.254955,1.08218,,,0.155357,0.005357
