,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt,proportion_of_all_with_mask6_and_ivt,proportion_of_all_with_mask6_and_mt,stroke_team,scenario
98 / mixed / speed + benchmark,mixed,515.0,0.151596,0.008489,0.5,0.469126,0.727649,0.95,0.892771,1.0,0.523617,4.57395,0.600678,2.70805,0.0,3.347859,0.633143,0.469126,0.792219,0.95,0.939891,1.0,0.025581,4.665097,0.652661,2.70805,0.0,5.675031,0.648427,0.151596,0.008489,98,speed + benchmark
98 / lvo / speed + onset,lvo,88.2,0.323029,0.041166,0.565217,0.608843,0.88785,0.95,0.962366,1.0,0.653631,4.50487,0.454471,2.70805,0.0,3.241887,0.634137,0.608843,0.925234,0.95,0.979487,1.0,0.078534,4.552429,0.502755,2.70805,0.0,5.361657,0.31695,0.323029,0.041166,98,speed + onset
98 / nlvo / speed + onset,nlvo,363.0,0.138469,0.004993,0.363636,0.597516,0.674641,0.95,0.864407,1.0,0.418301,4.611003,0.606047,2.70805,0.0,3.412436,0.625406,0.597516,0.745215,0.95,0.929174,1.0,0.012704,4.713852,0.659288,2.70805,0.0,,,0.138469,0.004993,98,speed + onset
98 / other / speed + onset,other,63.8,0.0,0.0,,0.608578,0.791139,0.95,0.911504,1.0,0.0,4.51177,0.744918,2.70805,0.0,,,0.608578,0.860759,0.95,0.929134,1.0,0.0,4.605784,0.782198,2.70805,0.0,,,0.0,0.0,98,speed + onset
98 / mixed / speed + onset,mixed,515.0,0.156583,0.01101,0.5,0.608442,0.727649,0.95,0.892771,1.0,0.417004,4.57395,0.600678,2.70805,0.0,3.347859,0.633143,0.608442,0.792219,0.95,0.939891,1.0,0.025581,4.665097,0.652661,2.70805,0.0,5.675031,0.648427,0.156583,0.01101,98,speed + onset
98 / lvo / speed + onset + benchmark,lvo,88.2,0.38377,0.041166,0.565217,0.608843,0.88785,0.95,0.962366,1.0,0.776536,4.50487,0.454471,2.70805,0.0,3.241887,0.634137,0.608843,0.925234,0.95,0.979487,1.0,0.078534,4.552429,0.502755,2.70805,0.0,5.361657,0.31695,0.38377,0.041166,98,speed + onset + benchmark
98 / nlvo / speed + onset + benchmark,nlvo,363.0,0.173468,0.004993,0.363636,0.597516,0.674641,0.95,0.864407,1.0,0.524027,4.611003,0.606047,2.70805,0.0,3.412436,0.625406,0.597516,0.745215,0.95,0.929174,1.0,0.012704,4.713852,0.659288,2.70805,0.0,,,0.173468,0.004993,98,speed + onset + benchmark
98 / other / speed + onset + benchmark,other,63.8,0.0,0.0,,0.608578,0.791139,0.95,0.911504,1.0,0.0,4.51177,0.744918,2.70805,0.0,,,0.608578,0.860759,0.95,0.929134,1.0,0.0,4.605784,0.782198,2.70805,0.0,,,0.0,0.0,98,speed + onset + benchmark
98 / mixed / speed + onset + benchmark,mixed,515.0,0.196616,0.01101,0.5,0.608442,0.727649,0.95,0.892771,1.0,0.523617,4.57395,0.600678,2.70805,0.0,3.347859,0.633143,0.608442,0.792219,0.95,0.939891,1.0,0.025581,4.665097,0.652661,2.70805,0.0,5.675031,0.648427,0.196616,0.01101,98,speed + onset + benchmark
99 / lvo / base,lvo,109.0,0.348624,0.014679,0.625,0.495413,0.92963,0.996016,0.964,1.0,0.551867,4.48148,0.536125,3.349079,0.664842,3.235365,0.668592,0.495413,0.97037,0.996183,0.969349,1.0,0.019763,4.532523,0.579286,3.374961,0.689321,,,0.244037,0.009174,99,base
