,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt,proportion_of_all_with_mask6_and_ivt,proportion_of_all_with_mask6_and_mt,stroke_team,scenario
6 / nlvo / speed + onset,nlvo,890.4,0.074718,0.006757,0.48,0.597516,0.480987,0.95,0.876076,1.0,0.312377,4.707177,0.511121,2.70805,0.0,3.575854,0.539746,0.597516,0.586974,0.95,0.90979,1.0,0.022291,4.881361,0.595092,2.70805,0.0,4.627309,0.642457,0.074718,0.006757,6,speed + onset
6 / other / speed + onset,other,110.4,0.0,0.0,,0.608578,0.612179,0.95,0.934426,1.0,0.0,4.606304,0.470096,2.70805,0.0,,,0.608578,0.730769,0.95,0.936937,1.0,0.0,4.786146,0.595609,2.70805,0.0,,,0.0,0.0,6,speed + onset
6 / mixed / speed + onset,mixed,1164.0,0.087024,0.016347,0.510345,0.608442,0.534876,0.95,0.894068,1.0,0.314827,4.679737,0.50225,2.70805,0.0,3.56795,0.536807,0.608442,0.636335,0.95,0.923232,1.0,0.04814,4.838787,0.589459,2.70805,0.0,4.640658,0.63476,0.087024,0.016347,6,speed + onset
6 / lvo / speed + onset + benchmark,lvo,163.2,0.348604,0.092231,0.526316,0.608843,0.82973,0.95,0.938111,1.0,0.774306,4.619152,0.477955,2.70805,0.0,3.550851,0.531823,0.608843,0.886486,0.95,0.972561,1.0,0.184953,4.687043,0.530911,2.70805,0.0,4.64722,0.636386,0.348604,0.092231,6,speed + onset + benchmark
6 / nlvo / speed + onset + benchmark,nlvo,890.4,0.110792,0.006757,0.48,0.597516,0.480987,0.95,0.876076,1.0,0.46319,4.707177,0.511121,2.70805,0.0,3.575854,0.539746,0.597516,0.586974,0.95,0.90979,1.0,0.022291,4.881361,0.595092,2.70805,0.0,4.627309,0.642457,0.110792,0.006757,6,speed + onset + benchmark
6 / other / speed + onset + benchmark,other,110.4,0.0,0.0,,0.608578,0.612179,0.95,0.934426,1.0,0.0,4.606304,0.470096,2.70805,0.0,,,0.608578,0.730769,0.95,0.936937,1.0,0.0,4.786146,0.595609,2.70805,0.0,,,0.0,0.0,6,speed + onset + benchmark
6 / mixed / speed + onset + benchmark,mixed,1164.0,0.132127,0.016347,0.510345,0.608442,0.534876,0.95,0.894068,1.0,0.477996,4.679737,0.50225,2.70805,0.0,3.56795,0.536807,0.608442,0.636335,0.95,0.923232,1.0,0.04814,4.838787,0.589459,2.70805,0.0,4.640658,0.63476,0.132127,0.016347,6,speed + onset + benchmark
7 / lvo / base,lvo,35.0,0.371429,0.005714,1.0,0.502857,0.943182,1.0,0.987952,1.0,0.682927,4.276169,0.658436,3.353848,0.602653,3.725352,0.868147,0.502857,1.0,0.988636,0.977011,1.0,0.011765,4.360052,0.726348,3.338232,0.705732,,,0.32,0.005714,7,base
7 / nlvo / base,nlvo,113.2,0.15371,0.0,,0.422261,0.728033,0.91954,0.88125,1.0,0.48227,4.512806,0.599343,3.729918,0.732881,3.824236,0.798545,0.422261,0.803347,0.932292,0.921788,1.0,0.0,4.622514,0.666138,3.834231,0.822511,,,0.120141,0.0,7,base
7 / other / base,other,22.8,0.0,0.0,,0.491228,0.785714,0.977273,0.953488,1.0,0.0,4.421132,0.445884,3.527447,0.833744,,,0.491228,0.910714,1.0,0.901961,1.0,0.0,4.594172,0.604053,3.618587,0.902688,,,0.0,0.0,7,base
7 / mixed / base,mixed,171.0,0.177778,0.00117,1.0,0.447953,0.785901,0.950166,0.923077,1.0,0.469697,4.434153,0.603871,3.590337,0.731035,3.779579,0.828736,0.447953,0.86423,0.957704,0.933754,1.0,0.003378,4.548369,0.681312,3.663412,0.83158,,,0.145029,0.001169,7,base
7 / lvo / benchmark,lvo,35.0,0.394286,0.005714,1.0,0.502857,0.943182,1.0,0.987952,1.0,0.841463,4.276169,0.658436,3.353848,0.602653,3.725352,0.868147,0.502857,1.0,0.988636,0.977011,1.0,0.011765,4.360052,0.726348,3.338232,0.705732,,,0.394286,0.005714,7,benchmark
7 / nlvo / benchmark,nlvo,113.2,0.154754,0.0,,0.422261,0.728033,0.91954,0.88125,1.0,0.621212,4.512806,0.599343,3.729918,0.732881,3.824236,0.798545,0.422261,0.803347,0.932292,0.921788,1.0,0.0,4.622514,0.666138,3.834231,0.822511,,,0.154754,0.0,7,benchmark
7 / other / benchmark,other,22.8,0.0,0.0,,0.491228,0.785714,0.977273,0.953488,1.0,0.0,4.421132,0.445884,3.527447,0.833744,,,0.491228,0.910714,1.0,0.901961,1.0,0.0,4.594172,0.604053,3.618587,0.902688,,,0.0,0.0,7,benchmark
7 / mixed / benchmark,mixed,171.0,0.184795,0.001169,1.0,0.447953,0.785901,0.950166,0.923077,1.0,0.598485,4.434153,0.603871,3.590337,0.731035,3.779579,0.828736,0.447953,0.86423,0.957704,0.933754,1.0,0.003378,4.548369,0.681312,3.663412,0.83158,,,0.184795,0.001169,7,benchmark
7 / lvo / onset,lvo,35.0,0.387446,0.006919,1.0,0.608843,0.943182,1.0,0.987952,1.0,0.682927,4.276169,0.658436,3.353848,0.602653,3.725352,0.868147,0.608843,1.0,0.988636,0.977011,1.0,0.011765,4.360052,0.726348,3.338232,0.705732,,,0.387446,0.006919,7,onset
7 / nlvo / onset,nlvo,113.2,0.170005,0.0,,0.597516,0.728033,0.91954,0.88125,1.0,0.48227,4.512806,0.599343,3.729918,0.732881,3.824236,0.798545,0.597516,0.803347,0.932292,0.921788,1.0,0.0,4.622514,0.666138,3.834231,0.822511,,,0.170005,0.0,7,onset
7 / other / onset,other,22.8,0.0,0.0,,0.608578,0.785714,0.977273,0.953488,1.0,0.0,4.421132,0.445884,3.527447,0.833744,,,0.608578,0.910714,1.0,0.901961,1.0,0.0,4.594172,0.604053,3.618587,0.902688,,,0.0,0.0,7,onset
7 / mixed / onset,mixed,171.0,0.196989,0.001588,1.0,0.608442,0.785901,0.950166,0.923077,1.0,0.469697,4.434153,0.603871,3.590337,0.731035,3.779579,0.828736,0.608442,0.86423,0.957704,0.933754,1.0,0.003378,4.548369,0.681312,3.663412,0.83158,,,0.196989,0.001588,7,onset
7 / lvo / speed,lvo,35.0,0.304,0.005491,1.0,0.502857,0.943182,0.95,0.987952,1.0,0.682927,4.276169,0.658436,2.70805,0.0,3.725352,0.868147,0.502857,1.0,0.95,0.977011,1.0,0.011765,4.360052,0.726348,2.70805,0.0,,,0.304,0.005491,7,speed
7 / nlvo / speed,nlvo,113.2,0.124121,0.0,,0.422261,0.728033,0.95,0.88125,1.0,0.48227,4.512806,0.599343,2.70805,0.0,3.824236,0.798545,0.422261,0.803347,0.95,0.921788,1.0,0.0,4.622514,0.666138,2.70805,0.0,,,0.124121,0.0,7,speed
7 / other / speed,other,22.8,0.0,0.0,,0.491228,0.785714,0.95,0.953488,1.0,0.0,4.421132,0.445884,2.70805,0.0,,,0.491228,0.910714,0.95,0.901961,1.0,0.0,4.594172,0.604053,2.70805,0.0,,,0.0,0.0,7,speed
7 / mixed / speed,mixed,171.0,0.145004,0.00116,1.0,0.447953,0.785901,0.95,0.923077,1.0,0.469697,4.434153,0.603871,2.70805,0.0,3.779579,0.828736,0.447953,0.86423,0.95,0.933754,1.0,0.003378,4.548369,0.681312,2.70805,0.0,,,0.145004,0.00116,7,speed
7 / lvo / onset + benchmark,lvo,35.0,0.477388,0.006919,1.0,0.608843,0.943182,1.0,0.987952,1.0,0.841463,4.276169,0.658436,3.353848,0.602653,3.725352,0.868147,0.608843,1.0,0.988636,0.977011,1.0,0.011765,4.360052,0.726348,3.338232,0.705732,,,0.477388,0.006919,7,onset + benchmark
7 / nlvo / onset + benchmark,nlvo,113.2,0.218983,0.0,,0.597516,0.728033,0.91954,0.88125,1.0,0.621212,4.512806,0.599343,3.729918,0.732881,3.824236,0.798545,0.597516,0.803347,0.932292,0.921788,1.0,0.0,4.622514,0.666138,3.834231,0.822511,,,0.218983,0.0,7,onset + benchmark
7 / other / onset + benchmark,other,22.8,0.0,0.0,,0.608578,0.785714,0.977273,0.953488,1.0,0.0,4.421132,0.445884,3.527447,0.833744,,,0.608578,0.910714,1.0,0.901961,1.0,0.0,4.594172,0.604053,3.618587,0.902688,,,0.0,0.0,7,onset + benchmark
7 / mixed / onset + benchmark,mixed,171.0,0.251002,0.001588,1.0,0.608442,0.785901,0.950166,0.923077,1.0,0.598485,4.434153,0.603871,3.590337,0.731035,3.779579,0.828736,0.608442,0.86423,0.957704,0.933754,1.0,0.003378,4.548369,0.681312,3.663412,0.83158,,,0.251002,0.001588,7,onset + benchmark
7 / lvo / speed + benchmark,lvo,35.0,0.374571,0.005491,1.0,0.502857,0.943182,0.95,0.987952,1.0,0.841463,4.276169,0.658436,2.70805,0.0,3.725352,0.868147,0.502857,1.0,0.95,0.977011,1.0,0.011765,4.360052,0.726348,2.70805,0.0,,,0.374571,0.005491,7,speed + benchmark
7 / nlvo / speed + benchmark,nlvo,113.2,0.15988,0.0,,0.422261,0.728033,0.95,0.88125,1.0,0.621212,4.512806,0.599343,2.70805,0.0,3.824236,0.798545,0.422261,0.803347,0.95,0.921788,1.0,0.0,4.622514,0.666138,2.70805,0.0,,,0.15988,0.0,7,speed + benchmark
7 / other / speed + benchmark,other,22.8,0.0,0.0,,0.491228,0.785714,0.95,0.953488,1.0,0.0,4.421132,0.445884,2.70805,0.0,,,0.491228,0.910714,0.95,0.901961,1.0,0.0,4.594172,0.604053,2.70805,0.0,,,0.0,0.0,7,speed + benchmark
7 / mixed / speed + benchmark,mixed,171.0,0.184763,0.00116,1.0,0.447953,0.785901,0.95,0.923077,1.0,0.598485,4.434153,0.603871,2.70805,0.0,3.779579,0.828736,0.447953,0.86423,0.95,0.933754,1.0,0.003378,4.548369,0.681312,2.70805,0.0,,,0.184763,0.00116,7,speed + benchmark
7 / lvo / speed + onset,lvo,35.0,0.368074,0.006648,1.0,0.608843,0.943182,0.95,0.987952,1.0,0.682927,4.276169,0.658436,2.70805,0.0,3.725352,0.868147,0.608843,1.0,0.95,0.977011,1.0,0.011765,4.360052,0.726348,2.70805,0.0,,,0.368074,0.006648,7,speed + onset
7 / nlvo / speed + onset,nlvo,113.2,0.175636,0.0,,0.597516,0.728033,0.95,0.88125,1.0,0.48227,4.512806,0.599343,2.70805,0.0,3.824236,0.798545,0.597516,0.803347,0.95,0.921788,1.0,0.0,4.622514,0.666138,2.70805,0.0,,,0.175636,0.0,7,speed + onset
7 / other / speed + onset,other,22.8,0.0,0.0,,0.608578,0.785714,0.95,0.953488,1.0,0.0,4.421132,0.445884,2.70805,0.0,,,0.608578,0.910714,0.95,0.901961,1.0,0.0,4.594172,0.604053,2.70805,0.0,,,0.0,0.0,7,speed + onset
7 / mixed / speed + onset,mixed,171.0,0.196955,0.001576,1.0,0.608442,0.785901,0.95,0.923077,1.0,0.469697,4.434153,0.603871,2.70805,0.0,3.779579,0.828736,0.608442,0.86423,0.95,0.933754,1.0,0.003378,4.548369,0.681312,2.70805,0.0,,,0.196955,0.001576,7,speed + onset
7 / lvo / speed + onset + benchmark,lvo,35.0,0.453519,0.006648,1.0,0.608843,0.943182,0.95,0.987952,1.0,0.841463,4.276169,0.658436,2.70805,0.0,3.725352,0.868147,0.608843,1.0,0.95,0.977011,1.0,0.011765,4.360052,0.726348,2.70805,0.0,,,0.453519,0.006648,7,speed + onset + benchmark
7 / nlvo / speed + onset + benchmark,nlvo,113.2,0.226237,0.0,,0.597516,0.728033,0.95,0.88125,1.0,0.621212,4.512806,0.599343,2.70805,0.0,3.824236,0.798545,0.597516,0.803347,0.95,0.921788,1.0,0.0,4.622514,0.666138,2.70805,0.0,,,0.226237,0.0,7,speed + onset + benchmark
7 / other / speed + onset + benchmark,other,22.8,0.0,0.0,,0.608578,0.785714,0.95,0.953488,1.0,0.0,4.421132,0.445884,2.70805,0.0,,,0.608578,0.910714,0.95,0.901961,1.0,0.0,4.594172,0.604053,2.70805,0.0,,,0.0,0.0,7,speed + onset + benchmark
7 / mixed / speed + onset + benchmark,mixed,171.0,0.250958,0.001576,1.0,0.608442,0.785901,0.95,0.923077,1.0,0.598485,4.434153,0.603871,2.70805,0.0,3.779579,0.828736,0.608442,0.86423,0.95,0.933754,1.0,0.003378,4.548369,0.681312,2.70805,0.0,,,0.250958,0.001576,7,speed + onset + benchmark
8 / lvo / base,lvo,67.0,0.283582,0.014925,1.0,0.450746,0.927152,0.992857,0.971223,1.0,0.644444,4.461031,0.580435,3.204004,0.833553,3.630439,0.65342,0.450746,0.953642,0.993056,0.979021,1.0,0.021429,4.496009,0.609187,3.224873,0.844253,,,0.259701,0.008955,8,base
8 / nlvo / base,nlvo,261.6,0.078746,0.001529,0.0,0.311927,0.688725,0.985765,0.880866,1.0,0.360656,4.604485,0.631145,3.366905,0.974363,3.767262,0.60737,0.311927,0.781863,0.987461,0.920635,1.0,0.006897,4.731771,0.687448,3.457177,1.002987,,,0.067278,0.001529,8,base
8 / other / base,other,51.0,0.0,0.0,,0.32549,0.819277,1.0,0.941176,1.0,0.0,4.571726,0.4183,3.291001,1.016352,,,0.32549,0.879518,1.0,0.972603,1.0,0.0,4.642422,0.482386,3.246754,1.005972,,,0.0,0.0,8,base
8 / mixed / base,mixed,379.6,0.10432,0.003688,0.714286,0.338251,0.761682,0.989775,0.915289,1.0,0.395034,4.558859,0.593727,3.309457,0.943108,3.699241,0.632599,0.338251,0.834891,0.990672,0.943503,1.0,0.00998,4.656263,0.649421,3.365689,0.96784,,,0.092202,0.002634,8,base
8 / lvo / benchmark,lvo,67.0,0.310447,0.008955,1.0,0.450746,0.927152,0.992857,0.971223,1.0,0.77037,4.461031,0.580435,3.204004,0.833553,3.630439,0.65342,0.450746,0.953642,0.993056,0.979021,1.0,0.021429,4.496009,0.609187,3.224873,0.844253,,,0.310447,0.008955,8,benchmark
8 / nlvo / benchmark,nlvo,261.6,0.09165,0.001529,0.0,0.311927,0.688725,0.985765,0.880866,1.0,0.491304,4.604485,0.631145,3.366905,0.974363,3.767262,0.60737,0.311927,0.781863,0.987461,0.920635,1.0,0.006897,4.731771,0.687448,3.457177,1.002987,,,0.09165,0.001529,8,benchmark
8 / other / benchmark,other,51.0,0.0,0.0,,0.32549,0.819277,1.0,0.941176,1.0,0.0,4.571726,0.4183,3.291001,1.016352,,,0.32549,0.879518,1.0,0.972603,1.0,0.0,4.642422,0.482386,3.246754,1.005972,,,0.0,0.0,8,benchmark
8 / mixed / benchmark,mixed,379.6,0.120653,0.002634,0.714286,0.338251,0.761682,0.989775,0.915289,1.0,0.51693,4.558859,0.593727,3.309457,0.943108,3.699241,0.632599,0.338251,0.834891,0.990672,0.943503,1.0,0.00998,4.656263,0.649421,3.365689,0.96784,,,0.120653,0.002634,8,benchmark
8 / lvo / onset,lvo,67.0,0.35079,0.012096,1.0,0.608843,0.927152,0.992857,0.971223,1.0,0.644444,4.461031,0.580435,3.204004,0.833553,3.630439,0.65342,0.608843,0.953642,0.993056,0.979021,1.0,0.021429,4.496009,0.609187,3.224873,0.844253,,,0.35079,0.012096,8,onset
8 / nlvo / onset,nlvo,261.6,0.128876,0.002929,0.0,0.597516,0.688725,0.985765,0.880866,1.0,0.360656,4.604485,0.631145,3.366905,0.974363,3.767262,0.60737,0.597516,0.781863,0.987461,0.920635,1.0,0.006897,4.731771,0.687448,3.457177,1.002987,,,0.128876,0.002929,8,onset
8 / other / onset,other,51.0,0.0,0.0,,0.608578,0.819277,1.0,0.941176,1.0,0.0,4.571726,0.4183,3.291001,1.016352,,,0.608578,0.879518,1.0,0.972603,1.0,0.0,4.642422,0.482386,3.246754,1.005972,,,0.0,0.0,8,onset
8 / mixed / onset,mixed,379.6,0.165852,0.004739,0.714286,0.608442,0.761682,0.989775,0.915289,1.0,0.395034,4.558859,0.593727,3.309457,0.943108,3.699241,0.632599,0.608442,0.834891,0.990672,0.943503,1.0,0.00998,4.656263,0.649421,3.365689,0.96784,,,0.165852,0.004739,8,onset
8 / lvo / speed,lvo,67.0,0.248491,0.008567,1.0,0.450746,0.927152,0.95,0.971223,1.0,0.644444,4.461031,0.580435,2.70805,0.0,3.630439,0.65342,0.450746,0.953642,0.95,0.979021,1.0,0.021429,4.496009,0.609187,2.70805,0.0,,,0.248491,0.008567,8,speed
8 / nlvo / speed,nlvo,261.6,0.064837,0.001471,0.0,0.311927,0.688725,0.95,0.880866,1.0,0.360656,4.604485,0.631145,2.70805,0.0,3.767262,0.60737,0.311927,0.781863,0.95,0.920635,1.0,0.006897,4.731771,0.687448,2.70805,0.0,,,0.064837,0.001471,8,speed
8 / other / speed,other,51.0,0.0,0.0,,0.32549,0.819277,0.95,0.941176,1.0,0.0,4.571726,0.4183,2.70805,0.0,,,0.32549,0.879518,0.95,0.972603,1.0,0.0,4.642422,0.482386,2.70805,0.0,,,0.0,0.0,8,speed
8 / mixed / speed,mixed,379.6,0.088497,0.002526,0.714286,0.338251,0.761682,0.95,0.915289,1.0,0.395034,4.558859,0.593727,2.70805,0.0,3.699241,0.632599,0.338251,0.834891,0.95,0.943503,1.0,0.00998,4.656263,0.649421,2.70805,0.0,,,0.088497,0.002526,8,speed
8 / lvo / onset + benchmark,lvo,67.0,0.419335,0.012096,1.0,0.608843,0.927152,0.992857,0.971223,1.0,0.77037,4.461031,0.580435,3.204004,0.833553,3.630439,0.65342,0.608843,0.953642,0.993056,0.979021,1.0,0.021429,4.496009,0.609187,3.224873,0.844253,,,0.419335,0.012096,8,onset + benchmark
8 / nlvo / onset + benchmark,nlvo,261.6,0.175562,0.002929,0.0,0.597516,0.688725,0.985765,0.880866,1.0,0.491304,4.604485,0.631145,3.366905,0.974363,3.767262,0.60737,0.597516,0.781863,0.987461,0.920635,1.0,0.006897,4.731771,0.687448,3.457177,1.002987,,,0.175562,0.002929,8,onset + benchmark
8 / other / onset + benchmark,other,51.0,0.0,0.0,,0.608578,0.819277,1.0,0.941176,1.0,0.0,4.571726,0.4183,3.291001,1.016352,,,0.608578,0.879518,1.0,0.972603,1.0,0.0,4.642422,0.482386,3.246754,1.005972,,,0.0,0.0,8,onset + benchmark
8 / mixed / onset + benchmark,mixed,379.6,0.21703,0.004739,0.714286,0.608442,0.761682,0.989775,0.915289,1.0,0.51693,4.558859,0.593727,3.309457,0.943108,3.699241,0.632599,0.608442,0.834891,0.990672,0.943503,1.0,0.00998,4.656263,0.649421,3.365689,0.96784,,,0.21703,0.004739,8,onset + benchmark
8 / lvo / speed + benchmark,lvo,67.0,0.297047,0.008567,1.0,0.450746,0.927152,0.95,0.971223,1.0,0.77037,4.461031,0.580435,2.70805,0.0,3.630439,0.65342,0.450746,0.953642,0.95,0.979021,1.0,0.021429,4.496009,0.609187,2.70805,0.0,,,0.297047,0.008567,8,speed + benchmark
8 / nlvo / speed + benchmark,nlvo,261.6,0.088325,0.001471,0.0,0.311927,0.688725,0.95,0.880866,1.0,0.491304,4.604485,0.631145,2.70805,0.0,3.767262,0.60737,0.311927,0.781863,0.95,0.920635,1.0,0.006897,4.731771,0.687448,2.70805,0.0,,,0.088325,0.001471,8,speed + benchmark
8 / other / speed + benchmark,other,51.0,0.0,0.0,,0.32549,0.819277,0.95,0.941176,1.0,0.0,4.571726,0.4183,2.70805,0.0,,,0.32549,0.879518,0.95,0.972603,1.0,0.0,4.642422,0.482386,2.70805,0.0,,,0.0,0.0,8,speed + benchmark
8 / mixed / speed + benchmark,mixed,379.6,0.115805,0.002526,0.714286,0.338251,0.761682,0.95,0.915289,1.0,0.51693,4.558859,0.593727,2.70805,0.0,3.699241,0.632599,0.338251,0.834891,0.95,0.943503,1.0,0.00998,4.656263,0.649421,2.70805,0.0,,,0.115805,0.002526,8,speed + benchmark
8 / lvo / speed + onset,lvo,67.0,0.335648,0.011572,1.0,0.608843,0.927152,0.95,0.971223,1.0,0.644444,4.461031,0.580435,2.70805,0.0,3.630439,0.65342,0.608843,0.953642,0.95,0.979021,1.0,0.021429,4.496009,0.609187,2.70805,0.0,,,0.335648,0.011572,8,speed + onset
8 / nlvo / speed + onset,nlvo,261.6,0.1242,0.002818,0.0,0.597516,0.688725,0.95,0.880866,1.0,0.360656,4.604485,0.631145,2.70805,0.0,3.767262,0.60737,0.597516,0.781863,0.95,0.920635,1.0,0.006897,4.731771,0.687448,2.70805,0.0,,,0.1242,0.002818,8,speed + onset
8 / other / speed + onset,other,51.0,0.0,0.0,,0.608578,0.819277,0.95,0.941176,1.0,0.0,4.571726,0.4183,2.70805,0.0,,,0.608578,0.879518,0.95,0.972603,1.0,0.0,4.642422,0.482386,2.70805,0.0,,,0.0,0.0,8,speed + onset
8 / mixed / speed + onset,mixed,379.6,0.159187,0.004544,0.714286,0.608442,0.761682,0.95,0.915289,1.0,0.395034,4.558859,0.593727,2.70805,0.0,3.699241,0.632599,0.608442,0.834891,0.95,0.943503,1.0,0.00998,4.656263,0.649421,2.70805,0.0,,,0.159187,0.004544,8,speed + onset
8 / lvo / speed + onset + benchmark,lvo,67.0,0.401235,0.011572,1.0,0.608843,0.927152,0.95,0.971223,1.0,0.77037,4.461031,0.580435,2.70805,0.0,3.630439,0.65342,0.608843,0.953642,0.95,0.979021,1.0,0.021429,4.496009,0.609187,2.70805,0.0,,,0.401235,0.011572,8,speed + onset + benchmark
8 / nlvo / speed + onset + benchmark,nlvo,261.6,0.169192,0.002818,0.0,0.597516,0.688725,0.95,0.880866,1.0,0.491304,4.604485,0.631145,2.70805,0.0,3.767262,0.60737,0.597516,0.781863,0.95,0.920635,1.0,0.006897,4.731771,0.687448,2.70805,0.0,,,0.169192,0.002818,8,speed + onset + benchmark
8 / other / speed + onset + benchmark,other,51.0,0.0,0.0,,0.608578,0.819277,0.95,0.941176,1.0,0.0,4.571726,0.4183,2.70805,0.0,,,0.608578,0.879518,0.95,0.972603,1.0,0.0,4.642422,0.482386,2.70805,0.0,,,0.0,0.0,8,speed + onset + benchmark
8 / mixed / speed + onset + benchmark,mixed,379.6,0.208308,0.004544,0.714286,0.608442,0.761682,0.95,0.915289,1.0,0.51693,4.558859,0.593727,2.70805,0.0,3.699241,0.632599,0.608442,0.834891,0.95,0.943503,1.0,0.00998,4.656263,0.649421,2.70805,0.0,,,0.208308,0.004544,8,speed + onset + benchmark
9 / lvo / base,lvo,40.0,0.5,0.07,0.5,0.65,0.938462,0.991803,1.0,1.0,0.752066,4.499044,0.409282,2.717909,0.744702,3.565222,0.795536,0.65,0.969231,0.992063,1.0,1.0,0.056,4.533991,0.446972,2.719697,0.739537,,,0.455,0.035,9,base
9 / nlvo / base,nlvo,176.2,0.207719,0.00454,0.75,0.668558,0.713073,0.97619,0.9,1.0,0.460705,4.696865,0.481506,3.104713,0.883568,3.550779,0.676628,0.668558,0.792869,0.987152,0.924078,1.0,0.007042,4.795232,0.544431,3.198285,0.95031,,,0.192962,0.003405,9,base
9 / other / base,other,31.4,0.0,0.0,,0.573248,0.877778,0.974684,0.909091,1.0,0.0,4.521333,0.675694,3.313136,0.908084,,,0.573248,0.911111,0.987805,0.950617,1.0,0.0,4.560301,0.692959,3.392685,0.965935,,,0.0,0.0,9,base
9 / mixed / base,mixed,247.6,0.228595,0.01454,0.555556,0.653473,0.767614,0.979066,0.921053,1.0,0.466071,4.635671,0.504668,3.05413,0.87846,3.555815,0.718824,0.653473,0.834363,0.988148,0.941529,1.0,0.015924,4.717927,0.559626,3.132203,0.938547,,,0.210824,0.008078,9,base
9 / lvo / benchmark,lvo,40.0,0.48,0.035,0.5,0.65,0.938462,0.991803,1.0,1.0,0.793388,4.499044,0.409282,2.717909,0.744702,3.565222,0.795536,0.65,0.969231,0.992063,1.0,1.0,0.056,4.533991,0.446972,2.719697,0.739537,,,0.48,0.035,9,benchmark
9 / nlvo / benchmark,nlvo,176.2,0.231371,0.003405,0.75,0.668558,0.713073,0.97619,0.9,1.0,0.552408,4.696865,0.481506,3.104713,0.883568,3.550779,0.676628,0.668558,0.792869,0.987152,0.924078,1.0,0.007042,4.795232,0.544431,3.198285,0.95031,,,0.231371,0.003405,9,benchmark
9 / other / benchmark,other,31.4,0.0,0.0,,0.573248,0.877778,0.974684,0.909091,1.0,0.0,4.521333,0.675694,3.313136,0.908084,,,0.573248,0.911111,0.987805,0.950617,1.0,0.0,4.560301,0.692959,3.392685,0.965935,,,0.0,0.0,9,benchmark
9 / mixed / benchmark,mixed,247.6,0.246365,0.008078,0.555556,0.653473,0.767614,0.979066,0.921053,1.0,0.544643,4.635671,0.504668,3.05413,0.87846,3.555815,0.718824,0.653473,0.834363,0.988148,0.941529,1.0,0.015924,4.717927,0.559626,3.132203,0.938547,,,0.246365,0.008078,9,benchmark
9 / lvo / onset,lvo,40.0,0.455,0.035,0.5,0.65,0.938462,0.991803,1.0,1.0,0.752066,4.499044,0.409282,2.717909,0.744702,3.565222,0.795536,0.65,0.969231,0.992063,1.0,1.0,0.056,4.533991,0.446972,2.719697,0.739537,,,0.455,0.035,9,onset
9 / nlvo / onset,nlvo,176.2,0.192962,0.003405,0.75,0.668558,0.713073,0.97619,0.9,1.0,0.460705,4.696865,0.481506,3.104713,0.883568,3.550779,0.676628,0.668558,0.792869,0.987152,0.924078,1.0,0.007042,4.795232,0.544431,3.198285,0.95031,,,0.192962,0.003405,9,onset
9 / other / onset,other,31.4,0.0,0.0,,0.608578,0.877778,0.974684,0.909091,1.0,0.0,4.521333,0.675694,3.313136,0.908084,,,0.608578,0.911111,0.987805,0.950617,1.0,0.0,4.560301,0.692959,3.392685,0.965935,,,0.0,0.0,9,onset
9 / mixed / onset,mixed,247.6,0.210824,0.008078,0.555556,0.653473,0.767614,0.979066,0.921053,1.0,0.466071,4.635671,0.504668,3.05413,0.87846,3.555815,0.718824,0.653473,0.834363,0.988148,0.941529,1.0,0.015924,4.717927,0.559626,3.132203,0.938547,,,0.210824,0.008078,9,onset
9 / lvo / speed,lvo,40.0,0.435822,0.033516,0.5,0.65,0.938462,0.95,1.0,1.0,0.752066,4.499044,0.409282,2.70805,0.0,3.565222,0.795536,0.65,0.969231,0.95,1.0,1.0,0.056,4.533991,0.446972,2.70805,0.0,,,0.435822,0.033516,9,speed
9 / nlvo / speed,nlvo,176.2,0.187786,0.003277,0.75,0.668558,0.713073,0.95,0.9,1.0,0.460705,4.696865,0.481506,2.70805,0.0,3.550779,0.676628,0.668558,0.792869,0.95,0.924078,1.0,0.007042,4.795232,0.544431,2.70805,0.0,,,0.187786,0.003277,9,speed
9 / other / speed,other,31.4,0.0,0.0,,0.573248,0.877778,0.95,0.909091,1.0,0.0,4.521333,0.675694,2.70805,0.0,,,0.573248,0.911111,0.95,0.950617,1.0,0.0,4.560301,0.692959,2.70805,0.0,,,0.0,0.0,9,speed
